nuts3_id,corr_PV,corr_Wind_On,corr_Wind_Off,corr_RE_Agg,corr_Price
DE258,-0.01817721538860393,-0.024392690926214475,-0.005693658658176047,-0.0337560689812897,0.035649841826160156
DE259,-0.4024858012590537,-0.19056083122230846,-0.09709422802116476,-0.4816113337335837,0.4774169067364623
DE25A,0.03224808761254149,-0.2324576367945964,-0.17202434463206662,-0.17197935327511535,0.0867273268824614
DE25B,-0.017881779543232484,-0.02317977912022053,-0.004723988948435646,-0.03247382322298502,0.03440796257538388
DE25C,-0.016544258557037103,-0.02402383552435755,-0.005547395088730401,-0.03213935433539503,0.03536869324438131
DE261,0.37738574449678536,-0.23904698530562854,-0.23273626594821406,0.09364499089119675,0.2723007623329652
DE262,0.3773858130125181,-0.23904728995789362,-0.23273636929183106,0.09364480372452165,0.27230105805931093
DE263,-0.645584577957992,-0.001828047744297818,0.07333076898630438,-0.5130557707686746,0.5139827516590335
DE264,-0.33285530305827893,-0.41894088893821363,-0.23120105805748117,-0.6150369517333892,0.5521991310422123
DE265,-0.5041297796750743,-0.14498958890207156,-0.049795276383260194,-0.5230654390590188,0.5137937322844012
DE266,-0.11860863820103887,-0.24753035422006553,-0.17812516188497007,-0.3060714747338452,0.4753656118448587
DE267,-0.4663837570944013,-0.1710703052202948,-0.07565445345680162,-0.5156846313258938,0.4744291796201014
DE268,0.03974128387741382,-0.04672497496990371,-0.030974424893760486,-0.007179741268178434,-0.00014615977920285212
DE269,-0.5504580785623941,-0.13742707843434704,-0.0401855640194625,-0.5535158044438054,0.44078007936484814
DE26A,-0.5372153072673176,-0.13625409412707987,-0.039175100629028375,-0.541791025091909,0.49015270814293294
DE26B,0.0590825126868605,-0.2596350730167768,-0.20947926912324602,-0.1758555361031594,0.4289163718604732
DE26C,-0.5563346933694147,-0.08140521820374964,0.02406852022617176,-0.5073629262470141,0.5351573411079474
DE271,0.14428121603853983,-0.02449034061843543,-0.033117948775533194,0.0936853338612046,-0.2576608505152245
DE272,0.3773838023089917,-0.23904430127809007,-0.23273622850763834,0.0936454361944856,0.2723017862561646
DE273,0.3773871428048738,-0.23904728039341513,-0.23273653198918248,0.09364586325167817,0.2723019995300447
DE274,-0.2508954196258948,-0.2173695570049179,-0.10544882662730716,-0.3803055291278451,0.25694762406495414
DE275,-0.5150572827414217,-0.19188924210540884,-0.06884556179600428,-0.5696768707285118,0.421229099204614
DE276,-0.2508954203081789,-0.21736951908062382,-0.10544874621162141,-0.3803054900794914,0.25694766610527975
DE277,0.8446290170126874,-0.2711255824072697,-0.2518364478121041,0.4446847751974196,-0.3164136293501162
DE278,0.23713167143047137,-0.3189717194621491,-0.21792815553486689,-0.07753476345378704,0.037992329222854275
DE279,-0.3230933848639471,-0.18096886800039652,-0.08459320459717949,-0.4085052844814783,0.3051623729925723
DE27A,0.37738557650255156,-0.2390476163729004,-0.23273712102058897,0.0936442633932051,0.2723011468678636
DE27B,-0.21956195021803443,-0.23383997375730986,-0.12243733245988628,-0.3696760267840131,0.2756254720240004
DE27C,-0.2432146917786005,-0.22203636963245643,-0.11004081566526056,-0.3782308907373018,0.2623734925454387
DE27D,0.8588518235587114,-0.24620382732430263,-0.2367157964147927,0.47695289217700754,-0.35192190103982357
DE27E,0.3773862554518517,-0.239046616479291,-0.23273597762089335,0.09364572032716884,0.2722995733737725
DE300,0.4344997616686784,-0.1584127596763206,-0.1625828914705546,0.20997471163053785,0.13021142757836116
DE401,0.37738588880092855,-0.2390471124388044,-0.23273619256408745,0.09364502255091393,0.27230080410140545
DE402,0.37738940669285664,-0.23905316822492856,-0.2326965304251787,0.09364885350687861,0.2722785529983899
DE403,0.3773858094995608,-0.23904673901727924,-0.2327363116310621,0.09364522153439736,0.27230128526567865
DE404,0.37739894056194656,-0.2390675453095301,-0.2327495753130739,0.09363840735503341,0.27227980977127153
DE405,0.5008986896344362,-0.19258519141873803,-0.22810138302322755,0.22893653090237504,-0.24320645626159854
DE406,0.49435202826116237,-0.18702231989233195,-0.22291940488904557,0.22853192612772377,-0.25110136449027853
DE407,0.3773864866347599,-0.23904781369128766,-0.23273567984386295,0.09364505204021077,0.27230001141574994
DE408,0.49266604957676957,-0.18695195534056883,-0.22275350028189064,0.22724476292837045,-0.2511773503320845
DE409,0.4953286852231621,-0.18876299648109676,-0.224476175052106,0.2278010424775228,-0.2486526818146439
DE40A,0.5010934965621289,-0.19272025057142078,-0.2282294295995817,0.22897503470941277,-0.24301085341307416
DE40B,0.3773858810098264,-0.2390471900633201,-0.23273588358312067,0.09364500113830897,0.2723012144147853
DE40C,0.4954863496863193,-0.18641401931305593,-0.2224599430274704,0.22996847791866548,-0.25160122434885546
DE40D,0.5003277042328877,-0.19219167674654117,-0.22772895716831146,0.22882151504221504,-0.24377461570949469
DE40E,0.49266605156736054,-0.18695190503337883,-0.2227534510917604,0.22724480906375882,-0.2511774838291319
DE40F,0.5497756490745409,-0.22901200246063072,-0.26178708040122717,0.23647735241380646,-0.1814316390673939
DE40G,0.3773857374937261,-0.2390471520473589,-0.23273609981319948,0.09364488348267182,0.27230100014945485
DE40H,0.4990931376381865,-0.19129666696756503,-0.22689297570749964,0.22861018748483122,-0.24506239187462334
DE40I,0.5131332621050985,-0.20116284142489566,-0.2361833152331983,0.23127763003508303,-0.23036524734015307
DE501,0.3773858636064103,-0.23904715922401526,-0.23273629456369352,0.09364495294190114,0.27230096659300734
DE502,0.377384551652784,-0.23904683422035508,-0.23273668222986407,0.09364408177558654,0.2723017173634277
DE600,0.3193564282482052,-0.3868668992873745,-0.3092890529084353,-0.07463372729074468,0.19392566346888326
DE711,-0.028954848152718517,-0.4945522067328079,-0.3266467336651141,-0.439278717558112,0.3337139079214595
DE712,0.377386062494333,-0.23904708835913363,-0.232736299436331,0.09364516611996498,0.2723006713080896
DE713,-0.17706106045125078,0.07763033662325573,-0.003495472414858254,-0.0854842237089492,0.45351499021019287
DE714,0.3773856773203411,-0.2390470396339627,-0.2327361870579457,0.09364490688095749,0.27230101151132163
DE715,0.1436752681938645,-0.4893447282365905,-0.3426497203344604,-0.29805092276532075,0.31179612352264435
DE716,-0.021388102954628486,-0.49636370883677805,-0.32920061960090463,-0.434873987636972,0.33558600591416093
DE717,-0.15803137159852254,-0.30977408959507463,-0.12211594843130065,-0.3767593990415722,0.6289668192973448
DE718,0.015217868944127187,0.005042314255006541,0.11191641172005003,0.03166167774817445,0.21788771661947562
DE719,-0.10037270686551548,-0.40775588462482876,-0.24975848865062453,-0.42130267722705445,0.6476765628183161
DE71A,0.013879623371545875,0.037077805294817426,0.13140575260936946,0.057286128440221434,0.19706925643230958
DE71B,-0.028954892400206537,-0.49455222420122036,-0.32664679401596625,-0.43927877481414135,0.33371394041204644
DE71C,-0.17931983313444294,-0.4957382370652315,-0.2789657983820112,-0.5550845613510831,0.6145509357573897
DE71D,-0.025677975296223007,-0.23797925137848333,-0.03154817182240325,-0.2033831113566135,0.37504282232955594
DE71E,0.26553418675090745,-0.2719190681535173,-0.26156225485429274,-0.02540981320928185,0.037209299977447687
DE721,0.2887996767423677,-0.28479587389449235,-0.2750217276006706,-0.01811977426993406,0.06466529243258423
DE722,0.11859742674306477,-0.14869902746225558,-0.15109518458699653,-0.036529406199685144,0.005306578884581644
DE723,0.010651975081002322,-0.5666328988502385,-0.3581625032944363,-0.4656324333722285,0.4150888770698541
DE724,0.11450077350556583,-0.1473436073473561,-0.14897335337274417,-0.038530614952893893,0.012441604195407003
DE725,0.2649769920179301,-0.2716130911581863,-0.2612628889464713,-0.025589413698380074,0.03673881118052297
DE731,0.000690102145186915,-0.600966275948999,-0.3190353623688521,-0.4939513539488516,0.5084016457726536
DE732,-0.32142759219011924,-0.3981147689486691,-0.19437953571365726,-0.5850742170076135,0.7290683317951621
