nuts3_id;pop_total;pop_missing;rep_profile_weight
DE40H;177688;50524;0,28434109225158705
DE40I;117432;66891;0,569614755773554
DE501;586271;586271;1,0
DE502;118610;118610;1,0
DE600;1862565;0;0,0
DE711;167029;0;0,0
DE712;756021;0;0,0
DE713;132746;0;0,0
DE714;288850;288850;1,0
DE715;274169;164371;0,5995243809475178
DE716;302021;31696;0,10494634479059403
DE717;268310;91015;0,33921583243263387
DE718;241664;0;0,0
DE719;420914;237541;0,5643456858170552
DE71A;238775;0;0,0
DE71B;93846;0;0,0
DE71C;358022;217650;0,6079235354251973
DE71D;185651;0;0,0
DE71E;311593;95901;0,30777649048598654
DE721;268418;197632;0,7362844518623938
DE722;254074;39309;0,15471476813841636
DE723;173830;48930;0,2814819076108842
DE724;242805;95720;0,3942258190729186
DE725;101163;29291;0,2895426193371094
DE731;197230;0;0,0
DE732;222283;28699;0,1291101883634826
DE733;117414;43791;0,37296233839235526
DE734;231073;22505;0,09739346440302415
DE735;180071;33137;0,1840218580448823
DE736;155126;155126;1,0
DE737;97695;76062;0,7785659450330109
DE803;205307;0;0,0
DE804;98308;98308;1,0
DE80J;246318;106756;0,43340722155912276
DE80K;218721;88129;0,4029288454240791
DE80L;215203;61662;0,286529462879235
DE80M;156692;91112;0,5814719321981977
DE80N;224956;67256;0,2989740215864436
DE80O;208092;208092;1,0
DE911;252962;0;0,0
DE912;104970;0;0,0
DE913;129560;129560;1,0
DE914;175943;102896;0,5848257674360446
DE916;126775;118915;0,9380003943995268
DE917;90227;25558;0,28326332472541477
DE918;125623;89620;0,7134043925077415
DE91A;137045;50987;0,37204567842679415
DE91B;118290;52604;0,4447036943105926
DE91C;328028;136865;0,4172357237796773
DE922;221202;34094;0,15413061364725456
DE923;150203;132942;0,8850821887711963
DE925;267506;171417;0,6407968419399939
DE926;65581;0;0,0
DE927;121468;17021;0,1401274409721079
DE928;156841;32317;0,2060494386034264
DE929;1140888;148643;0,13028710968999585
DE931;172449;0;0,0
DE932;198842;0;0,0
DE933;265864;36961;0,13902220684259622
DE934;46502;19384;0,41684228635327514
DE935;179448;20038;0,1116646605144666
DE936;113598;64712;0,5696579165126147
DE937;165904;40069;0,24151919182177645
DE938;141321;99545;0,7043892981227136
DE939;207700;93950;0,4523350987000481
DE93A;91638;35958;0,3923918025273358
DE93B;138626;89537;0,6458889385829498
DE941;81406;0;0,0
DE942;49202;49202;1,0
DE943;176614;0;0,0
DE944;166057;166057;1,0
DE945;75745;75745;1,0
DE946;127751;0;0,0
DE947;188816;30521;0,16164414032709093
DE948;177025;0;0,0
DE949;334539;67057;0,20044598686550746
DE94A;100411;0;0,0
DE94B;144543;111647;0,772413745390645
DE94C;169103;4325;0,025576128158577908
DE94D;132008;0;0,0
DE94E;354821;122260;0,3445681061718444
DE94F;146539;0;0,0
DE94G;88936;0;0,0
DE94H;55969;0;0,0
DEA11;618685;0;0,0
DEA12;502270;502270;1,0
DEA13;574682;0;0,0
DEA14;231406;0;0,0
DEA15;267213;0;0,0
DEA16;173050;0;0,0
DEA17;213646;0;0,0
DEA18;113828;113828;1,0
DEA19;165626;0;0,0
DEA1A;358193;0;0,0
DEA1B;322018;119819;0,37208789570769335
DEA1C;490910;340576;0,6937646411765904
DEA1D;457077;0;0,0
DEA1E;297857;91177;0,3061099789496302
DEA1F;457918;0;0,0
DEA22;323336;0;0,0
DEA23;1024621;0;0,0
DEA24;168581;0;0,0
DEA26;279285;166487;0,596118660150026
DEA27;477988;45555;0,0953057398930517
DEA28;202609;0;0,0
DEA29;263681;43163;0,16369400904881276
DEA2A;274057;75229;0,2745012898776532
DEA2B;284273;63084;0,22191344235998495
DEA2C;605441;132320;0,2185514360606566
DEA2D;582410;573624;0,984914407376247
DEA31;118535;0;0,0
DEA32;267930;0;0,0
DEA33;308258;0;0,0
DEA34;380796;237560;0,6238510908728033
DEA35;227859;207654;0,9113267415375298
DEA36;621305;99083;0,15947561986463976
DEA37;451712;379628;0,8404204448852366
DEA38;282639;209010;0,7394945495844523
DEA41;331605;331605;1,0
DEA42;363982;200261;0,5501947898522455
DEA43;254404;18335;0,07207040769799217
DEA44;139252;23252;0,16697785310085314
DEA45;347149;248643;0,7162428812988083
DEA46;320557;26815;0,08365126950901088
DEA47;315912;0;0,0
DEA51;358676;0;0,0
DEA52;603462;0;0,0
DEA53;190384;0;0,0
DEA54;179968;179968;1,0
DEA55;155851;155851;1,0
DEA56;314167;291395;0,9275162572771806
DEA57;260843;0;0,0
DEA58;408046;150225;0,36815702151228047
DEA59;132346;79577;0,6012799782388587
DEA5A;274074;0;0,0
DEA5B;300297;157752;0,5253199332660666
DEA5C;393784;320017;0,8126714137699855
DEB11;113378;0;0,0
DEB12;129353;27961;0,21616042921308357
DEB13;132125;0;0,0
DEB14;164748;61555;0,37363124286789523
DEB15;82611;0;0,0
DEB17;217228;30039;0,13828327839873314
DEB18;189061;75385;0,3987337420197714
DEB1A;125588;0;0,0
DEB1B;207803;0;0,0
DEB1C;61608;0;0,0
DEB1D;106705;0;0,0
DEB21;104342;104342;1,0
DEB22;113187;0;0,0
DEB23;99788;0;0,0
DEB24;59313;0;0,0
DEB25;148953;2897;0,019449087967345405
DEB31;48140;48140;1,0
DEB32;100426;100426;1,0
DEB33;48209;48209;1,0
DEB34;177222;177222;1,0
DEB35;224684;0;0,0
DEB36;52945;52945;1,0
DEB37;39761;39761;1,0
DEB38;49564;49564;1,0
DEB39;86753;0;0,0
DEB3A;33323;33323;1,0
DEB3B;131238;0;0,0
DEB3C;134329;88568;0,6593364053927298
DEB3D;74783;10969;0,14667772087239078
DEB3E;131383;35931;0,2734828706910331
DEB3F;106343;44847;0,4217202824821568
DEB3G;69334;10456;0,1508062422476707
DEB3H;113031;32696;0,2892657766453451
DEB3I;155882;77303;0,49590716054451445
DEB3J;206454;68504;0,33181241341896983
DEB3K;89974;18825;0,2092271100540156
DEC01;333149;322293;0,9674139799309018
DEC02;108779;31697;0,29138896294321515
DEC03;133179;133179;1,0
DEC04;205129;190197;0,9272067820737194
DEC05;144092;137860;0,9567498542597784
DEC06;87813;25441;0,2897179233143157
DED21;564904;564904;1,0
DED2C;292608;269379;0,9206139271653543
DED2D;243958;230236;0,9437526131547234
DED2E;239221;239221;1,0
DED2F;243996;243996;1,0
DED41;245618;0;0,0
DED42;318394;96257;0,3023203954848395
DED43;296431;23819;0,08035259470163376
DED44;219100;99067;0,4521542674577818
DED45;306793;142939;0,4659134986782619
DED51;611850;0;0,0
DED52;260127;20131;0,07738912146759083
DED53;199422;84175;0,4220948541284312
DEE01;75402;75402;1,0
DEE02;226767;226767;1,0
DEE03;244329;0;0,0
DEE04;79980;0;0,0
DEE05;153035;57716;0,37714248374554843
DEE06;88509;22585;0,25517179043939037
DEE07;167924;31444;0,18725137562230532
DEE08;173684;66257;0,38148015936989016
DEE09;205484;121588;0,5917151700375698
DEE0A;129029;69154;0,5359570329150811
DEE0B;182451;34392;0,1884999260075308
DEE0C;180771;110239;0,6098267974398548
DEE0D;106538;44096;0,4138992659896
DEE0E;121694;56378;0,4632767433069831
DEF01;96326;96326;1,0
DEF02;252668;0;0,0
DEF03;216889;0;0,0
DEF04;79809;0;0,0
DEF05;133460;41860;0,3136520305709576
DEF06;206235;98872;0,47941426043106167
DEF07;170029;73397;0,4316734204165172
DEF08;201472;52400;0,26008576874205847
DEF09;325223;241286;0,7419093975518337
DEF0A;130609;20885;0,1599047538837293
DEF0B;278058;90179;0,3243172287796071
DEF0C;205472;43469;0,21155680579349012
DEF0D;283562;149091;0,5257791946734753
DEF0E;132731;53973;0,4066344712237533
DEF0F;246974;113524;0,45965972126620613
DEG01;218793;0;0,0
DEG02;95608;95608;1,0
DEG03;109725;0;0,0
DEG04;0;0;1,0
DEG05;65954;65954;1,0
DEG06;97560;18230;0,18685936859368593
DEG07;80762;40767;0,5047794754959015
DEG09;94613;53070;0,560916575946223
DEG0A;71738;20910;0,2914773202486827
DEG0B;0;0;1,0
DEG0C;135838;54338;0,4000206127887631
DEG0D;67693;18503;0,2733369772354601
DEG0E;59987;4566;0,07611649190657976
DEG0F;0;0;1,0
DEG0G;82392;23747;0,28821973007088064
DEG0H;0;0;1,0
DEG0I;0;0;1,0
DEG0J;83342;17740;0,21285786278227065
DEG0K;77341;8743;0,11304482745245084
DEG0L;87867;40197;0,4574755027484721
DEG0M;87508;31093;0,35531608538647896
DEG0P;0;0;1,0
